exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GSH,2009-08-25,23.71,23.74,23.25,23.27,14500,23.27
NYSE,GIM,1991-10-16,4.21,4.27,4.15,4.27,402400,0.62
NYSE,GDP,2003-04-21,3.25,3.29,3.20,3.29,2000,3.29
NYSE,GDP,2001-02-23,5.35,5.55,5.35,5.45,24800,5.45
NYSE,GPX,2005-05-03,7.64,7.80,7.64,7.75,55900,7.66
NYSE,GDL,2010-02-01,13.71,13.72,13.65,13.69,53100,13.69
NYSE,GEO,2008-10-14,15.01,15.07,13.57,13.90,1134900,13.90
NYSE,GWW,2001-06-01,44.60,44.65,43.71,44.58,531800,38.59
NYSE,GE,1985-09-10,61.13,61.13,60.13,60.38,7792800,1.29
NYSE,GJL,2007-05-25,24.69,24.70,24.69,24.70,900,22.07
NYSE,GIM,2008-04-08,9.42,9.43,9.34,9.39,143800,7.54
NYSE,GGG,1998-12-18,25.94,26.50,25.94,26.00,54300,6.06
NYSE,GJH,2009-08-25,7.53,7.53,7.29,7.35,1000,7.07
NYSE,GLW,2009-07-30,16.90,17.13,16.88,16.91,14812100,16.81
NYSE,GRB,1993-02-01,10.85,11.29,10.85,10.96,38700,9.23
NYSE,GUT,2007-11-14,9.23,9.29,9.15,9.15,24100,7.46
NYSE,GCH,1993-11-12,11.97,12.29,11.97,12.29,58800,3.26
NYSE,GJM,2004-08-26,25.63,25.64,25.56,25.63,16500,13.84
NYSE,GIL,2008-08-06,25.84,25.97,25.01,25.42,1026100,25.42
NYSE,GE,1979-11-05,48.13,48.13,47.88,48.00,2395200,0.39
NYSE,GRT,1998-09-01,16.19,17.31,16.00,17.25,87200,4.69
NYSE,GBL,2009-01-12,29.00,29.63,28.98,29.01,70900,28.93
NYSE,GR,1987-05-06,30.44,30.51,29.99,30.14,81400,5.73
NYSE,GPD,2008-03-14,23.40,23.40,22.95,23.24,24200,20.60
NYSE,GEC,2009-05-11,22.20,22.50,21.94,22.39,56200,21.30
NYSE,GE,1966-05-02,114.62,114.62,112.87,112.87,912000,0.30
NYSE,GSK,2000-08-30,56.50,57.44,56.25,57.13,610500,40.43
NYSE,GLW,2003-11-17,11.35,11.38,10.85,11.10,20558300,10.77
NYSE,GRE,2005-08-26,19.07,19.07,19.07,19.07,100,16.87
NYSE,GWR,1999-07-01,10.19,10.38,9.88,10.00,221500,1.98
NYSE,GE,2006-09-12,34.43,34.73,34.38,34.67,22489800,29.94
NYSE,GJJ,2007-12-04,22.51,22.51,22.51,22.51,000,20.86
NYSE,GBL,2008-03-03,56.16,56.90,55.42,56.74,66100,56.42
NYSE,GIS,1985-03-11,35.24,35.40,35.08,35.16,855200,1.93
NYSE,GPX,2004-07-26,6.34,6.40,6.24,6.40,7200,6.33
NYSE,GBX,2002-01-15,7.01,7.02,7.00,7.02,19600,6.57
NYSE,GE,1990-03-27,63.88,64.87,63.75,64.87,11997600,3.20
NYSE,GT,2005-04-06,12.98,13.03,12.87,12.93,2125700,12.93
NYSE,GET,1992-11-18,30.61,31.14,30.61,31.14,101000,12.92
NYSE,GY,2005-10-31,18.36,18.64,18.23,18.34,296400,18.34
NYSE,GY,1994-06-23,5.31,5.42,5.31,5.31,26400,0.33
NYSE,GEO,1998-03-19,28.44,28.44,28.00,28.06,282800,9.35
NYSE,GAS,2008-09-09,46.00,46.70,45.78,45.91,1467200,42.65
NYSE,GFI,2005-01-07,12.61,12.88,12.57,12.72,2542000,11.86
NYSE,GAP,1987-03-25,27.27,27.27,26.47,26.97,83400,16.28
NYSE,GCI,1994-05-26,46.91,47.92,46.91,47.58,504000,16.39
NYSE,GET,2002-12-02,19.80,19.90,18.85,19.17,21700,19.17
NYSE,GSI,2005-06-22,1.50,1.50,1.30,1.50,7500,1.50
NYSE,GAP,2001-01-29,9.13,9.88,8.86,9.88,121800,7.82
NYSE,GE,1990-01-04,66.25,66.62,65.50,66.25,17923200,3.24
NYSE,GSK,1997-01-16,31.37,31.50,30.87,31.12,551100,19.94
NYSE,GVA,2010-01-27,32.50,32.82,31.50,32.69,627400,32.69
NYSE,GSC,2008-07-03,91.98,92.30,91.84,92.30,9800,92.30
NYSE,GLF,2005-01-31,24.15,24.76,23.96,24.53,42400,24.53
NYSE,GEO,2004-11-09,20.65,20.82,20.55,20.80,56800,6.93
NYSE,GPC,1988-01-19,25.44,25.69,24.85,25.44,259900,4.90
NYSE,GHL,2004-05-12,19.23,19.23,18.80,19.00,75200,17.16
NYSE,GPX,2006-11-07,8.28,8.37,8.02,8.20,15800,8.20
NYSE,GMR,2005-07-27,40.30,40.50,39.11,39.80,1627600,15.29
NYSE,GMT,1993-07-26,28.99,29.58,28.99,29.58,18800,7.95
NYSE,GET,1991-12-18,19.44,19.44,19.23,19.44,53600,7.97
NYSE,GVA,1997-12-15,23.44,23.62,23.19,23.19,24900,8.63
NYSE,GRA,1983-11-25,6.74,6.80,6.74,6.80,14400,0.13
NYSE,GSK,1996-05-30,26.12,26.25,26.00,26.12,898700,16.39
NYSE,GNI,2002-09-11,63.50,63.75,63.50,63.75,300,32.61
NYSE,GFW,2006-06-14,25.01,25.40,25.01,25.03,8700,18.11
NYSE,GAP,1997-12-17,27.33,28.06,27.33,27.94,52000,20.94
NYSE,GAM,1991-11-08,25.00,25.25,25.00,25.00,33000,5.48
NYSE,GRA,2010-02-05,26.20,27.15,25.82,26.90,827800,26.90
NYSE,GPU,2004-11-09,25.55,25.65,25.45,25.65,17700,18.77
NYSE,GFI,2007-07-13,17.13,17.41,17.13,17.16,3879900,16.41
NYSE,GIB,2003-03-12,4.49,4.49,4.39,4.45,11500,4.45
NYSE,GLW,1996-05-21,39.25,39.38,38.63,38.75,1691400,9.81
NYSE,GAP,1988-06-13,29.94,30.35,29.94,30.05,43200,18.50
NYSE,GTY,2006-01-03,26.17,27.05,26.13,27.03,83900,19.63
NYSE,GLP,2008-02-22,27.74,28.29,27.59,28.19,10900,22.33
NYSE,GWW,1998-08-19,41.75,41.75,38.44,41.14,698400,34.08
NYSE,GWR,2001-07-13,20.26,21.27,19.95,20.10,33700,5.96
NYSE,GIS,1995-11-27,48.57,48.79,48.57,48.68,541600,16.43
NYSE,GPS,2008-04-17,18.85,19.16,18.71,19.07,6416900,18.40
NYSE,GJB,2004-08-12,24.35,24.35,24.35,24.35,700,17.77
NYSE,GUT,2001-01-09,8.69,8.94,8.62,8.94,24600,4.14
NYSE,GTY,1991-12-31,12.00,12.25,11.88,12.25,11100,3.41
NYSE,GR,1990-06-01,29.47,29.55,29.22,29.22,52800,6.68
NYSE,GT,2008-07-03,17.67,18.37,17.43,17.83,3056300,17.83
NYSE,GR,2009-12-23,65.52,65.93,65.21,65.25,674200,65.25
NYSE,GJH,2009-03-10,4.60,5.01,4.52,4.90,2400,4.50
NYSE,GR,1994-03-01,33.62,33.82,33.11,33.11,105400,9.86
NYSE,GMW,2006-07-07,24.95,24.95,24.95,24.95,000,24.95
NYSE,GE,1981-06-19,65.00,65.25,64.50,64.62,6931200,0.58
NYSE,GNI,1994-06-09,21.19,21.19,21.05,21.05,1100,3.72
NYSE,GFW,2008-04-15,21.72,21.98,21.02,21.96,10100,18.19
NYSE,GEP,2005-10-27,23.40,23.46,23.38,23.40,5700,18.89
NYSE,GIL,2005-09-14,36.00,37.50,36.00,36.91,548200,18.45
NYSE,GAP,1997-08-26,24.47,24.59,23.87,24.05,35600,17.97
NYSE,GME,2003-01-14,10.52,10.52,9.80,9.90,1348600,4.95
NYSE,GAB,2003-04-15,7.04,7.18,7.03,7.09,172400,3.33
NYSE,GS,2009-03-16,100.33,101.41,93.19,93.90,28240800,93.26
NYSE,GAM,1995-07-12,20.00,20.12,20.00,20.12,28100,5.48
